stepCount,EnvironmentSiteOutdoorAirDrybulbTemperature,EnvironmentSiteExteriorHorizontalSkyIlluminance,Block1:Zone1_DaylCtrlDaylightingReferencePoint1Illuminance,EMSwarmUpComplete,Block1:Zone1ZoneMeanRadiantTemperature,EMSepTimeStep,Block1:Zone1ZoneAirRelativeHumidity,EnvironmentSiteRainStatus,Block1:Zone1ZoneMeanAirTemperature,Block1:Zone1NumberOfOccupants,Block1:Zone1BlindFraction,Block1:Zone1AverageGains,Block1:Zone1WindowState0,Block1:Zone1LightState
115,0.10000,0.00000,0.00000,1.00000,18.58264,19.00000,37.24798,0.00000,21.00000,1.00000,0.00000,79.67333,0.00000,1.00000
116,-0.90000,0.00000,0.00000,1.00000,18.38671,20.00000,40.40599,0.00000,19.06318,1.00000,0.00000,84.27921,0.00000,1.00000
117,-1.80000,0.00000,0.00000,1.00000,17.92944,21.00000,43.01647,0.00000,17.51954,1.00000,0.00000,88.49813,0.00000,1.00000
118,-2.80000,0.00000,0.00000,1.00000,17.50005,22.00000,42.91232,0.00000,17.13238,1.00000,0.00000,90.17739,0.00000,1.00000
119,-2.50000,0.00000,0.00000,1.00000,17.23081,23.00000,41.07432,0.00000,16.75463,1.00000,0.00000,91.68866,0.00000,1.00000
120,-2.30000,0.00000,0.00000,1.00000,17.01207,24.00000,38.70005,0.00000,16.55487,1.00000,0.00000,92.73003,0.00000,1.00000
121,-2.00000,0.00000,0.00000,1.00000,16.83726,1.00000,36.73282,0.00000,16.42009,1.00000,0.00000,93.50600,0.00000,1.00000
122,-1.70000,0.00000,0.00000,1.00000,16.67734,2.00000,35.25918,0.00000,16.26446,1.00000,0.00000,94.26202,0.00000,1.00000
123,-1.30000,0.00000,0.00000,1.00000,16.53040,3.00000,34.10713,0.00000,16.12117,1.00000,0.00000,94.93918,0.00000,1.00000
124,-1.00000,0.00000,0.00000,1.00000,16.39098,4.00000,33.08128,0.00000,15.98906,1.00000,0.00000,95.56577,0.00000,1.00000
125,-0.80000,0.00000,0.00000,1.00000,16.26197,5.00000,32.18048,0.00000,15.87958,1.00000,0.00000,96.11107,0.00000,1.00000
126,-0.70000,0.00000,0.00000,1.00000,16.13816,6.00000,23.06345,0.00000,20.92961,1.00000,0.00000,85.61695,0.00000,1.00000
127,-0.50000,0.00000,0.00000,1.00000,16.87784,7.00000,22.54264,0.00000,21.00000,1.00000,0.00000,84.22474,0.00000,1.00000
128,-0.30000,0.00000,0.00000,1.00000,17.39313,8.00000,22.55757,0.00000,21.00000,1.00000,0.00000,83.32111,0.00000,1.00000
129,0.00000,367.80026,0.00000,1.00000,17.66708,9.00000,23.07646,0.00000,21.00000,1.00000,0.00000,82.78504,0.00000,1.00000
130,0.20000,2743.30298,0.00000,1.00000,17.86199,10.00000,24.62018,0.00000,21.00000,1.00000,0.00000,82.27907,0.00000,1.00000
131,1.10000,7532.51172,0.00000,1.00000,18.02169,11.00000,26.47272,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
132,2.00000,12768.70117,0.00000,1.00000,18.17286,12.00000,28.33679,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
133,2.90000,16356.71680,0.00000,1.00000,18.31369,13.00000,29.72917,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
134,3.00000,15353.06250,0.00000,1.00000,18.42626,14.00000,30.84790,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
135,3.20000,11966.49805,0.00000,1.00000,18.51737,15.00000,32.39653,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
136,3.30000,6803.91357,0.00000,1.00000,18.57261,16.00000,34.15497,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
137,2.50000,2163.99414,0.00000,1.00000,18.59554,17.00000,35.84084,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
138,1.80000,0.00000,0.00000,1.00000,18.59560,18.00000,36.31064,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
139,1.00000,0.00000,0.00000,1.00000,18.59172,19.00000,35.79271,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
140,0.10000,0.00000,0.00000,1.00000,18.40759,20.00000,38.87781,0.00000,19.10370,0.00000,0.00000,0.00000,0.00000,1.00000
141,-0.80000,0.00000,0.00000,1.00000,17.96212,21.00000,40.11959,0.00000,17.56972,1.00000,0.00000,88.56853,0.00000,1.00000
142,-1.70000,0.00000,0.00000,1.00000,17.54952,22.00000,40.38128,0.00000,17.20628,1.00000,0.00000,90.12671,0.00000,1.00000
143,-1.10000,0.00000,0.00000,1.00000,17.27883,23.00000,40.05162,0.00000,16.91965,1.00000,0.00000,91.30128,0.00000,1.00000
144,-0.40000,0.00000,0.00000,1.00000,17.07953,24.00000,39.21674,0.00000,16.68530,1.00000,0.00000,92.26636,0.00000,1.00000
145,0.20000,0.00000,0.00000,1.00000,16.91048,1.00000,38.09001,0.00000,16.55284,1.00000,0.00000,92.96173,0.00000,1.00000
146,0.30000,0.00000,0.00000,1.00000,16.75933,2.00000,37.12625,0.00000,16.41225,1.00000,0.00000,93.62960,0.00000,1.00000
147,0.30000,0.00000,0.00000,1.00000,16.62048,3.00000,36.24212,0.00000,16.26949,1.00000,0.00000,94.27290,0.00000,1.00000
148,0.40000,0.00000,0.00000,1.00000,16.48872,4.00000,35.50643,0.00000,16.14083,1.00000,0.00000,94.85806,0.00000,1.00000
149,-0.10000,0.00000,0.00000,1.00000,16.35171,5.00000,34.89003,0.00000,15.99173,1.00000,0.00000,95.48895,0.00000,1.00000
150,-0.70000,0.00000,0.00000,1.00000,16.21229,6.00000,34.27319,0.00000,15.83620,1.00000,0.00000,96.13754,0.00000,1.00000
151,-1.20000,0.00000,0.00000,1.00000,16.06837,7.00000,33.68430,0.00000,15.68277,1.00000,0.00000,96.78568,0.00000,1.00000
152,-0.50000,0.00000,0.00000,1.00000,15.93906,8.00000,33.13153,0.00000,15.58753,0.00000,0.00000,0.00000,0.00000,1.00000
153,0.10000,480.33319,0.00000,1.00000,15.82509,9.00000,32.69424,0.00000,15.50339,0.00000,0.00000,0.00000,0.00000,1.00000
154,0.80000,2742.80981,0.00000,1.00000,15.74724,10.00000,32.46939,0.00000,15.44874,0.00000,0.00000,0.00000,0.00000,1.00000
155,1.40000,6018.14160,0.00000,1.00000,15.70639,11.00000,32.30649,0.00000,15.41774,0.00000,0.00000,0.00000,0.00000,1.00000
156,2.10000,8379.41895,0.00000,1.00000,15.68719,12.00000,32.20696,0.00000,15.40441,0.00000,0.00000,0.00000,0.00000,1.00000
157,2.70000,9445.29004,0.00000,1.00000,15.62351,13.00000,32.40600,1.00000,15.31032,0.00000,0.00000,0.00000,0.00000,1.00000
158,2.80000,8969.67285,0.00000,1.00000,15.60448,14.00000,32.47004,0.00000,15.30744,0.00000,0.00000,0.00000,0.00000,1.00000
159,2.90000,6965.77344,0.00000,1.00000,15.53558,15.00000,32.79738,0.00000,15.23516,0.00000,0.00000,0.00000,0.00000,1.00000
160,3.00000,3917.70142,0.00000,1.00000,15.40296,16.00000,33.60590,1.00000,15.02634,0.00000,0.00000,0.00000,0.00000,1.00000
161,3.00000,860.43060,0.00000,1.00000,15.28852,17.00000,34.30636,0.00000,14.92648,1.00000,0.00000,99.82989,0.00000,1.00000
